"MEASURE","Sex","AGE","Age","COB","Country of Birth","REGION","Region","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1992","1992",17478640,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1993","1993",17634810,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1994","1994",17805470,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1995","1995",18004880,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1996","1996",18224770,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1997","1997",18423040,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1998","1998",18607580,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","1999","1999",18812260,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2000","2000",19028800,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2001","2001",19274700,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2002","2002",19495210,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2003","2003",19720740,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2004","2004",19932720,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2005","2005",20176840,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2006","2006",20450970,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2007","2007",20827620,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2008","2008",21249200,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2009","2009",21691650,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2010","2010",22031750,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2011","2011",22340020,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2012","2012",22728250,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2013","2013",23117350,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2014","2014",23460690,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2015","2015",23789340,,
"3","Persons","TT","All ages","TOTAL","Total","0","Australia","A","Annual","2016","2016",24127160,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1992","1992",13445360,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1993","1993",13581470,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1994","1994",13717560,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1995","1995",13852320,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1996","1996",13984720,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1997","1997",14128840,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1998","1998",14297370,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","1999","1999",14466970,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2000","2000",14643100,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2001","2001",14822350,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2002","2002",14944520,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2003","2003",15065240,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2004","2004",15179770,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2005","2005",15299750,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2006","2006",15419340,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2007","2007",15594370,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2008","2008",15771300,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2009","2009",15961770,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2010","2010",16150390,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2011","2011",16321840,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2012","2012",16518750,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2013","2013",16717920,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2014","2014",16903040,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2015","2015",17078800,,
"3","Persons","TT","All ages","1101","Australia","0","Australia","A","Annual","2016","2016",17254110,,
